symbol,name,currency,summary,category_group,category,family,exchange,mic
ASNGF.AS,ASN Groenprojectenfonds Inc,EUR,"ASN Groenprojectenfonds Inc is a Dutch green investment fund managed by ASN Investment Funds, focusing on financing environmentally friendly projects. The fund invests in a diverse range of initiatives, including renewable energy, sustainable agriculture, and resource efficiency projects. ASN Groenprojectenfonds aims to generate both financial returns and positive environmental impact by supporting sustainable development.",Financials,Alternative,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNMF.AS,ASN-Novib MicrokredietFonds,EUR,"ASN-Novib MicrokredietFonds is a Dutch microfinance fund managed in cooperation with Novib (part of Oxfam), aimed at providing financial support to microenterprises in developing countries. The fund invests in microfinance institutions that offer small loans and financial services to entrepreneurs who lack access to traditional banking. ASN-Novib MicrokredietFonds aims to promote economic development and poverty reduction through responsible microfinance investments.",Financials,Alternative,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNML.AS,ASN Milieu &amp; Waterfonds Inc,EUR,"ASN Milieu & Waterfonds Inc is a Dutch sustainable investment fund managed by ASN Investment Funds, focusing on companies and projects that contribute to environmental protection and water management. The fund invests in sectors such as clean technology, renewable energy, and sustainable water infrastructure. ASN Milieu & Waterfonds aims to generate long-term financial returns while promoting environmental sustainability and responsible resource management.",Financials,Alternative,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNN.AS,ASN Duurzaam Mixfonds Neutraal,EUR,"ASN Duurzaam Mixfonds Neutraal is a Dutch sustainable mixed fund managed by ASN Investment Funds, offering a neutral risk profile. The fund invests in a mix of asset classes, including equities and bonds, adhering to strict environmental, social, and governance (ESG) criteria. ASN Duurzaam Mixfonds Neutraal aims to achieve a balanced return with moderate risk, while promoting sustainable and responsible investment practices.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNO.AS,ASN Duurzaam Mixfonds Offensief,EUR,"ASN Duurzaam Mixfonds Offensief is a Dutch sustainable mixed fund managed by ASN Investment Funds, pursuing an offensive investment strategy. The fund invests in a mix of equities and bonds, selected based on environmental, social, and governance (ESG) criteria. ASN Duurzaam Mixfonds Offensief aims to generate higher returns compared to more conservative funds, while promoting sustainable and responsible investment practices.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNOB.AS,ASN Duurzaam Obligatiefonds,EUR,"ASN Duurzaam Obligatiefonds is a Dutch sustainable bond fund managed by ASN Investment Funds, focusing on investing in fixed-income securities that meet specific environmental, social, and governance (ESG) criteria. The fund invests in government and corporate bonds that support sustainable development and responsible business practices. ASN Duurzaam Obligatiefonds aims to generate stable income and preserve capital while contributing to a more sustainable economy.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNZD.AS,ASN Duurzaam Mixfonds Zeer Defensief,EUR,"ASN Duurzaam Mixfonds Zeer Defensief is a Dutch sustainable mixed fund managed by ASN Investment Funds with a very defensive investment strategy. The fund invests in a mix of asset classes, primarily bonds, that adhere to strict environmental, social, and governance (ESG) standards. ASN Duurzaam Mixfonds Zeer Defensief aims to offer capital preservation and stable returns with minimal risk, while promoting sustainable and responsible investment practices.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
ASNZO.AS,ASN Duurzaam Mixfonds Zeer Offensief,EUR,"ASN Duurzaam Mixfonds Zeer Offensief is a Dutch sustainable mixed fund managed by ASN Investment Funds with a very offensive investment strategy. The fund invests in a mix of asset classes, primarily equities, that adhere to strict environmental, social, and governance (ESG) standards. ASN Duurzaam Mixfonds Zeer Offensief aims to maximize returns through higher risk investments, while promoting sustainable and responsible business practices.",Fixed Income,Bonds,ASN Beleggingsinstellingen Beheer,AMS,XAMS
AVEA.AS,ACTIAM Duurzaam Europees Aandelenfonds,EUR,"ACTIAM Duurzaam Europees Aandelenfonds is a fund focused on sustainable European equities. The fund is managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing. It aims to provide long-term capital growth by investing in companies that meet specific environmental, social, and governance (ESG) criteria.",Equities,Equities,ACTIAM N.V.,AMS,XAMS
AVEO.AS,ACTIAM Duurzaam Euro Obligatiefonds,EUR,"ACTIAM Duurzaam Euro Obligatiefonds is a fund focused on sustainable Euro-denominated bonds. It is managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing. The fund aims to provide stable returns and positive impact by investing in bonds that meet specific environmental, social, and governance (ESG) criteria.",Fixed Income,Bonds,ACTIAM N.V.,AMS,XAMS
AVFNV.AS,Add Value Fund N.V.,EUR,Add Value Fund N.V. is a Dutch investment fund that aims to generate long-term capital appreciation. The fund invests primarily in a diversified portfolio of equities and fixed-income securities. It is based in the Netherlands.,Financials,Netherlands,Optimix Vermogensbeheer N.V.,AMS,XAMS
AVIAW.AS,ACTIAM Beleggingsfondsen N.V. - ACTIAM Verantwoord Index Aandelenfonds - Wereld Fund,EUR,"ACTIAM Beleggingsfondsen N.V. - ACTIAM Verantwoord Index Aandelenfonds - Wereld Fund is a global equity index fund with a focus on responsible investing. Managed by ACTIAM, an asset manager based in the Netherlands, the fund aims to replicate the performance of a global equity index while incorporating environmental, social, and governance (ESG) criteria. It provides investors with broad market exposure and a sustainable investment approach.",Equities,Equities,,AMS,XAMS
AVIVE.AS,ACTIAM Duurzaam Index Vastgoedfonds Europa,EUR,"ACTIAM Duurzaam Index Vastgoedfonds Europa is a real estate fund focused on sustainable properties in Europe. Managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing, the fund aims to provide stable returns by investing in real estate assets that meet specific environmental, social, and governance (ESG) criteria. It offers investors exposure to the European real estate market with a sustainable focus.",Real Estate,REITs,ACTIAM N.V.,AMS,XAMS
AVMD.AS,ACTIAM Duurzaam Mixfonds Defensief,EUR,"ACTIAM Duurzaam Mixfonds Defensief is a mixed fund with a defensive investment profile, focused on sustainable investments. Managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing, the fund allocates its assets across various asset classes with a focus on capital preservation and risk management, integrating environmental, social, and governance (ESG) criteria. It aims to provide stable returns with a sustainable approach.",Alternatives,Blend,ACTIAM N.V.,AMS,XAMS
AVMN.AS,ACTIAM Duurzaam Mixfonds Neutraal,EUR,"ACTIAM Duurzaam Mixfonds Neutraal is a mixed fund with a neutral investment profile, focused on sustainable investments. Managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing, the fund allocates its assets across various asset classes with a balanced approach to risk and return, integrating environmental, social, and governance (ESG) criteria. It aims to provide moderate returns with a sustainable approach.",Alternatives,Blend,ACTIAM N.V.,AMS,XAMS
AVMO.AS,ACTIAM Duurzaam Mixfonds Offensief,EUR,"ACTIAM Duurzaam Mixfonds Offensief is a mixed fund with an offensive investment profile, focused on sustainable investments. Managed by ACTIAM, an asset manager based in the Netherlands that focuses on responsible investing, the fund allocates its assets across various asset classes with a focus on capital appreciation and a higher risk tolerance, integrating environmental, social, and governance (ESG) criteria. It aims to provide higher returns with a sustainable approach.",Alternatives,Blend,ACTIAM N.V.,AMS,XAMS
AVWA.AS,ACTIAM Impact Wereld Aandelenfonds,EUR,"ACTIAM Impact Wereld Aandelenfonds is a global equity fund focused on impact investing. Managed by ACTIAM, an asset manager based in the Netherlands, the fund invests in companies that contribute positively to specific social and environmental challenges. It aims to generate both financial returns and measurable positive impact.",Equities,Equities,ACTIAM N.V.,AMS,XAMS
BAPHF.AS,BNP Paribas Fund III N.V. - BNP Paribas Asia Pacific High Income Equity Fund Classic,EUR,BNP Paribas Fund III N.V. - BNP Paribas Asia Pacific High Income Equity Fund Classic invests in equities in the Asia Pacific region. The fund's objective is to generate a high level of income and potential for capital appreciation through investments in companies with attractive dividend yields. BNP Paribas Asset Management has offices worldwide.,Equities,Equities,BNP Paribas Asset Management,AMS,XAMS
BGHEF.AS,BNP Paribas Global Income Multi-Factor Equity Fund Classic,EUR,"BNP Paribas Global Income Multi-Factor Equity Fund Classic is a sub-fund of BNP Paribas Funds III N.V., an investment company based in Luxembourg. It focuses on generating income by investing in global equities, utilizing a multi-factor approach to select securities. The fund aims to outperform its benchmark while managing risk through diversification.",Equities,Equities,BNP Paribas Asset Management,AMS,XAMS
BGPSF.AS,BNP Paribas Fund III N.V. - BNP Paribas Global Property Securities Fund Classic,EUR,"BNP Paribas Global Property Securities Fund Classic is a sub-fund of BNP Paribas Funds III N.V., an investment company based in Luxembourg. It invests in a diversified portfolio of property securities globally, including REITs and other real estate-related companies. The fund aims to provide investors with exposure to the global property market and potential income and capital appreciation.",Real Estate,REITs,BNP Paribas Asset Management,AMS,XAMS
BHPF.AS,BNP Paribas Fund III N.V. - BNP Paribas High Income Property Fund Classic,EUR,"BNP Paribas High Income Property Fund Classic is a sub-fund of BNP Paribas Funds III N.V., an investment company based in Luxembourg. It primarily invests in high-yielding property-related securities, such as REITs and other real estate debt instruments, globally. The fund's objective is to generate a high level of income for investors while maintaining a diversified portfolio of property assets.",Real Estate,REITs,BNP Paribas Asset Management,AMS,XAMS
BOBL.AS,Robeco Customized US Large Cap Eqs G &#226;&#130;&#172;,EUR,"Robeco Customized US Large Cap Eqs G &#226;&#130;&#172; is a customized investment solution that focuses on US large-cap equities. It is managed by Robeco and tailored to specific client needs. The fund is based in the Netherlands, given its .AS listing.",Equities,Large Cap,Robeco Institutional Asset Mgmt BV,AMS,XAMS
BPSEU.AS,BNP Paribas Fund III N.V. - BNP Paribas Property Securities Fund Europe Classic,EUR,BNP Paribas Fund III N.V. - BNP Paribas Property Securities Fund Europe Classic is a real estate investment fund managed by BNP Paribas Asset Management. It invests in property securities across Europe. The fund seeks to provide long-term capital appreciation and income.,Real Estate,REITs,BNP Paribas Asset Management,AMS,XAMS
BSBAL.AS,Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Balanced Fund,EUR,"Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Balanced Fund is a balanced fund managed by Insingergilissen Asset Management N.V. and Beheerstrategie N.V. The fund utilizes a multi-manager approach, investing in a mix of asset classes to achieve a balance between risk and return. The fund is based in the Netherlands, given its .AS listing.",Financials,Blend,,AMS,XAMS
BSDEF.AS,Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Defensive Fund,EUR,"Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Defensive Fund is a defensive fund managed by Insingergilissen Asset Management N.V. and Beheerstrategie N.V. The fund employs a multi-manager approach to invest in a portfolio of assets that seeks to minimize risk and preserve capital. It is based in the Netherlands, given its .AS listing.",Alternatives,Blend,,AMS,XAMS
BSEQ.AS,Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Equity Fund,EUR,"Insingergilissen Asset Management N.V. - Beheerstrategie N.V. - Multi Manager Equity Fund is an equity fund managed by Insingergilissen Asset Management N.V. and Beheerstrategie N.V. The fund uses a multi-manager approach, investing in a diverse portfolio of equity securities to achieve capital appreciation. The fund is based in the Netherlands, given its .AS listing.",Equities,Equities,,AMS,XAMS
DDAFA.AS,DD Property Fund N.V.,EUR,"DD Property Fund N.V. is a real estate investment fund focusing on property investments, potentially in a specific region or sector. As a Dutch entity, it would be governed by Dutch financial regulations and may distribute income to investors. The fund's headquarters are in the Netherlands.",Real Estate,Commercial Real Estate,,AMS,XAMS
DDAFB.AS,Active Investor - DD Property Fund,EUR,,Real Estate,,,AMS,XAMS
DDEF.AS,DD Equity Fund A EUR Acc,EUR,,Equities,World,DoubleDividend Management B.V.,AMS,XAMS
DDIF.AS,DD Income Fund Class A EUR Inc,EUR,,Fixed Income,World,DoubleDividend Management B.V.,AMS,XAMS
DDPFA.AS,DD Property Fund N.V. klasse A EUR Inc,EUR,"DD Property Fund N.V. klasse A EUR Inc is a real estate investment fund focusing on property investments, potentially in a specific region or sector, and distributing income to investors in EUR. As a Dutch entity, it would be governed by Dutch financial regulations. The fund's headquarters are in the Netherlands.",Real Estate,Commercial Real Estate,DoubleDividend Management B.V.,AMS,XAMS
DDPFB.AS,DD Property Fund N.V. klasse B EUR Inc,EUR,"DD Property Fund N.V. klasse B EUR Inc is a real estate investment fund focusing on property investments, potentially in a specific region or sector, and distributing income to investors in EUR, with class B having a different fee structure or investment focus than class A. As a Dutch entity, it would be governed by Dutch financial regulations. The fund's headquarters are in the Netherlands.",Real Estate,Commercial Real Estate,DoubleDividend Management B.V.,AMS,XAMS
ELAC.AS,Insinger de Beaufort Umbrella Fund N.V. - Insinger de Beaufort Equity Income Fund,EUR,"The Insinger de Beaufort Umbrella Fund N.V. - Insinger de Beaufort Equity Income Fund aims to generate income and long-term capital growth by investing primarily in a diversified portfolio of dividend-paying equities. The fund focuses on companies that exhibit strong financial health and a track record of consistent dividend payments. The fund is part of the Insinger de Beaufort Umbrella Fund N.V., a multi-compartment investment fund based in the Netherlands.",Equities,Value,,AMS,XAMS
EMC.AS,InsingerGilissen European Mid Cap Fund,EUR,"InsingerGilissen European Mid Cap Fund is a fund managed by InsingerGilissen, focusing on investing in mid-capitalization companies in Europe. InsingerGilissen is a Dutch private bank and asset manager.",Equities,Mid Cap,InsingerGilissen Asset Management N.V.,AMS,XAMS
ESGNL.AS,BNP Paribas Fund III N.V. - BNP Paribas ESG Netherlands Index Fund Classic Dis,EUR,"BNP Paribas Fund III N.V. - BNP Paribas ESG Netherlands Index Fund Classic Dis is an index fund offered by BNP Paribas, tracking an ESG-focused Netherlands index. The fund adheres to environmental, social, and governance principles and distributes income (""Dis"") to investors.",Equities,Equities,BNP Paribas Asset Management,AMS,XAMS
HHCVF.AS,Hof Hoorneman Investment Funds NV - Hof Hoorneman China Value Fund,EUR,"Hof Hoorneman Investment Funds NV - Hof Hoorneman China Value Fund invests in undervalued Chinese equities, aiming for long-term capital appreciation. The fund leverages fundamental analysis to identify companies with strong growth potential at attractive prices. Hof Hoorneman is based in the Netherlands.",Equities,Emerging Markets,,AMS,XAMS
HHEMF.AS,Hof Hoorneman Emerging Markets Fund,EUR,Hof Hoorneman Emerging Markets Fund invests in emerging market equities with the goal of long-term capital appreciation. The fund utilizes fundamental analysis to identify companies with strong growth potential in developing economies. Hof Hoorneman is based in the Netherlands.,Equities,Emerging Markets,Hof Hoorneman Fund Management NV,AMS,XAMS
HHEVF.AS,Hof Hoorneman European Value Fund,EUR,"Hof Hoorneman European Value Fund invests in undervalued European equities, seeking long-term capital appreciation. The fund focuses on companies with sound fundamentals trading below their intrinsic value. Hof Hoorneman is based in the Netherlands.",Equities,Value,Hof Hoorneman Fund Management NV,AMS,XAMS
HHGF.AS,Hof Hoorneman Global Fund,EUR,"Hof Hoorneman Global Fund invests in a diversified portfolio of global equities, seeking long-term capital appreciation. The fund employs a value-oriented investment approach, identifying companies with strong fundamentals at attractive valuations. Hof Hoorneman is based in the Netherlands.",Equities,Developed Markets,Hof Hoorneman Fund Management NV,AMS,XAMS
HHIF.AS,Hof Hoorneman Income Fund,EUR,"Hof Hoorneman Income Fund invests in a diversified portfolio of fixed-income securities, seeking to provide a steady stream of income. The fund prioritizes credit quality and aims to preserve capital while generating attractive yields. Hof Hoorneman is based in the Netherlands.",Fixed Income,Bonds,Hof Hoorneman Fund Management NV,AMS,XAMS
HHMD.AS,Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Defensief Mutual Fund,EUR,"Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Defensief Mutual Fund aims for capital preservation and income generation with lower volatility. It invests in a mix of asset classes, including bonds and equities, with a conservative allocation strategy. Hof Hoorneman is based in the Netherlands.",Financials,Blend,,AMS,XAMS
HHMN.AS,Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Neutraal Mutual Fund,EUR,"Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Neutraal Mutual Fund aims to achieve a balance between capital appreciation and income generation with moderate risk. It invests in a mix of asset classes, including bonds and equities, with a neutral allocation strategy. Hof Hoorneman is based in the Netherlands.",Financials,Blend,,AMS,XAMS
HHMO.AS,Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Offensief Mutual Fund,EUR,"Hof Hoorneman Fund Management - Hof Hoorneman Mix Fondsen Offensief Mutual Fund seeks to maximize capital appreciation with a higher level of risk. It invests in a mix of asset classes, including bonds and equities, with an aggressive allocation strategy. Hof Hoorneman is based in the Netherlands.",Financials,Blend,,AMS,XAMS
HHOF.AS,Hof Hoorneman Obligatie Fonds,EUR,"Hof Hoorneman Obligatie Fonds invests primarily in a diversified portfolio of Euro-denominated bonds, seeking to provide a steady stream of income and capital preservation. The fund focuses on high-quality debt instruments. Hof Hoorneman is based in the Netherlands.",Fixed Income,Bonds,Hof Hoorneman Fund Management NV,AMS,XAMS
HHPF.AS,Hof Hoorneman Phoenix Fund,EUR,,Miscellaneous,Miscellaneous,Hof Hoorneman Fund Management NV,AMS,XAMS
HHREF.AS,Hof Hoorneman Real Estate Value Fund,EUR,"Hof Hoorneman Real Estate Value Fund invests in undervalued real estate companies, seeking long-term capital appreciation. The fund focuses on identifying companies with strong fundamentals trading below their intrinsic value in the real estate sector. Hof Hoorneman is based in the Netherlands.",Real Estate,REITs,Hof Hoorneman Fund Management NV,AMS,XAMS
HHVF.AS,Hof Hoorneman Value Fund,EUR,"Hof Hoorneman Value Fund invests in undervalued equities, seeking long-term capital appreciation. The fund employs a value-oriented investment approach, focusing on companies with strong fundamentals trading below their intrinsic value. Hof Hoorneman is based in the Netherlands.",Equities,Value,Hof Hoorneman Fund Management NV,AMS,XAMS
ICAWA.AS,Intereffekt Active Leverage China,EUR,,Miscellaneous,Miscellaneous,Trustus Capital Management BV,AMS,XAMS
IJAWA.AS,Intereffekt Active Leverage Japan,EUR,"Intereffekt Active Leverage Japan is a fund that employs leverage to actively invest in the Japanese market. Intereffekt is the management company. The fund's goal is to amplify returns, but it also increases the risk.",Equities,Developed Markets,Trustus Capital Management BV,AMS,XAMS
INBRA.AS,Intereffekt Active Leverage Brazil,EUR,"Intereffekt Active Leverage Brazil is a fund that uses leverage to actively invest in the Brazilian market. It is managed by Intereffekt. The fund seeks to magnify returns, and this also multiplies the risk.",Equities,Emerging Markets,Trustus Capital Management BV,AMS,XAMS
INIWA.AS,Intereffekt Active Leverage India,EUR,"Intereffekt Active Leverage India is a fund that uses leverage to actively invest in the Indian market. It is managed by Intereffekt. The goal is to increase investment returns, but the effect of this is increased risk.",Equities,Emerging Markets,Trustus Capital Management BV,AMS,XAMS
KBEPF.AS,Kempen European Property Fund N.V.,EUR,"The Kempen European Property Fund N.V. is a real estate fund that invests in a diversified portfolio of commercial properties located in Europe. The fund aims to generate stable income and long-term capital appreciation for its investors. The fund is managed by Kempen Capital Management, an asset management firm based in Amsterdam, Netherlands.",Real Estate,Commercial Real Estate,Kempen Capital Management N.V.,AMS,XAMS
KEHDF.AS,Kempen European High Dividend Fund N.V. Class N,EUR,"The Kempen European High Dividend Fund N.V. Class N invests primarily in a diversified portfolio of European equities with above-average dividend yields. The fund aims to provide investors with a stable stream of income and long-term capital appreciation. Kempen Capital Management, based in Amsterdam, Netherlands, manages the fund.",Equities,Equities,Kempen Capital Management N.V.,AMS,XAMS
KEMP0.AS,Kempen Profielfonds 0 Klasse N,EUR,"Kempen Profielfonds 0 Klasse N is a Dutch investment fund offered by Kempen Capital Management. It is a profile fund with a defensive investment strategy, aiming for capital preservation and modest growth. Kempen Capital Management is headquartered in Amsterdam.",Alternatives,Allocation,Kempen Capital Management N.V.,AMS,XAMS
KESVC.AS,Kempen European Sustainable Value Creation Fund N.V. Klasse N,EUR,"The Kempen European Sustainable Value Creation Fund N.V. Klasse N invests in a concentrated portfolio of European companies that demonstrate both financial strength and a commitment to sustainable business practices. The fund seeks to generate long-term capital appreciation by identifying companies that are undervalued and have the potential to improve their environmental, social, and governance (ESG) performance. Kempen Capital Management, based in Amsterdam, Netherlands, manages the fund.",Equities,Equities,Kempen Capital Management N.V.,AMS,XAMS
KGHDF.AS,Kempen Global High Dividend Fund Class N,EUR,"The Kempen Global High Dividend Fund Class N invests primarily in a diversified portfolio of global equities with above-average dividend yields. The fund seeks to provide investors with a stable stream of income and long-term capital appreciation. Kempen Capital Management, located in Amsterdam, Netherlands, manages the fund.",Equities,Equities,Kempen Capital Management N.V.,AMS,XAMS
KGPFN.AS,Kempen Global Property Fund N.V. N,EUR,"The Kempen Global Property Fund N.V. N invests in a diversified portfolio of real estate properties and real estate-related securities located around the world. The fund aims to provide investors with a stable stream of income and long-term capital appreciation. Kempen Capital Management, located in Amsterdam, Netherlands, manages the fund.",Real Estate,REITs,Kempen Capital Management N.V.,AMS,XAMS
KGSEF.AS,Kempen Global Sustainable Equity Fund N.V.,EUR,"Kempen Global Sustainable Equity Fund N.V. invests globally in equity securities that meet specific sustainability criteria. It aims to generate long-term capital appreciation by selecting companies demonstrating environmental, social, and governance (ESG) best practices. Kempen Capital Management, based in Amsterdam, Netherlands, manages the fund.",Equities,Equities,Kempen Capital Management N.V.,AMS,XAMS
KORAF.AS,Kempen Orange Fund N.V.,EUR,"Kempen Orange Fund N.V. is a Dutch investment fund managed by Kempen Capital Management N.V., focusing on a diversified portfolio of primarily Dutch equities. The fund aims to achieve long-term capital appreciation by investing in companies listed on the Amsterdam stock exchange and other relevant markets. Kempen Capital Management is headquartered in Amsterdam, Netherlands.",Equities,Developed Markets,Kempen Capital Management N.V.,AMS,XAMS
KORPT.AS,Kempen Oranje Participaties N.V.,EUR,"Kempen Oranje Participaties N.V. is a Dutch investment company that invests in unlisted Dutch small and medium-sized enterprises (SMEs). The fund provides capital and support to help these companies grow and aims to generate attractive returns for its investors through long-term partnerships. Kempen Capital Management manages this fund from its headquarters in Amsterdam, Netherlands.",Equities,Europe,Kempen Capital Management N.V.,AMS,XAMS
LANDE.AS,Kempen Profielfonds 2 Klasse N,EUR,"Kempen Profielfonds 2 Klasse N is a Dutch investment fund offered by Kempen Capital Management. It is a profile fund with a conservative investment strategy, aiming for a balance between capital preservation and growth. Kempen Capital Management is headquartered in Amsterdam.",Financials,Allocation,Kempen Capital Management N.V.,AMS,XAMS
LANGR.AS,Kempen Profielfonds 4 Klasse N,EUR,"Kempen Profielfonds 4 Klasse N is a Dutch investment fund offered by Kempen Capital Management. It is a profile fund with an offensive investment strategy, aiming for high capital growth. Kempen Capital Management is headquartered in Amsterdam.",Financials,Allocation,Kempen Capital Management N.V.,AMS,XAMS
LANNE.AS,Kempen Profielfonds 3 Klasse N,EUR,"Kempen Profielfonds 3 Klasse N is a Dutch investment fund offered by Kempen Capital Management. It is a profile fund with a neutral investment strategy, aiming for long-term capital appreciation. Kempen Capital Management is headquartered in Amsterdam.",Equities,Allocation,Kempen Capital Management N.V.,AMS,XAMS
LANOF.AS,Kempen Profielfonds 5 Klasse N,EUR,"Kempen Profielfonds 5 Klasse N is a Dutch investment fund offered by Kempen Capital Management. It is a profile fund with a very offensive investment strategy, aiming for maximum capital growth, and thus, carries higher risk. Kempen Capital Management is headquartered in Amsterdam.",Equities,Allocation,Kempen Capital Management N.V.,AMS,XAMS
LSP.AS,LSP Life Sciences Fund N.V.,EUR,"LSP Life Sciences Fund N.V. is a venture capital firm focused on investing in innovative life sciences companies. The fund provides funding and expertise to companies developing new therapies, medical devices, and diagnostics. The company is based in Amsterdam, Netherlands.",Financials,Health Care,Life Sciences Partners,AMS,XAMS
MMDFB.AS,Insingergilissen Asset Management N.V. - Beheerstrategie N.V - Multi Manager Defensive Balanced Fund,EUR,"The Insingergilissen Asset Management N.V. - Beheerstrategie N.V - Multi Manager Defensive Balanced Fund is a multi-manager fund that aims to provide a defensive balanced investment strategy. It achieves this by investing in a selection of other funds managed by different investment managers, providing diversification across various asset classes and investment styles. The fund is managed by Insingergilissen Asset Management N.V.",Alternatives,Blend,,AMS,XAMS
NBZ.AS,Nederlandse Beleggingsmaatschappij Voor Zeeschepen BV,EUR,"Nederlandse Beleggingsmaatschappij Voor Zeeschepen BV is a Dutch investment company specializing in investments related to seagoing vessels. It invests in ships, maritime infrastructure, or related businesses, aiming to generate returns through lease income, capital appreciation, or other maritime-related ventures. The company is based in the Netherlands.",Financials,,,AMS,XAMS
