symbol,name,currency,summary,category_group,category,family,exchange,mic
RU000A0ZZVL1.ME,PIF GPB International bonds,RUB,PIF GPB International bonds is a mutual investment fund (PIF) investing in international bonds managed by GPB (Gazprombank). The fund aims to offer investors access to a diversified portfolio of international bonds. It's managed by an asset management division of GPB.,Fixed Income,Bonds,,MCX,MISX
RU000A1002D0.ME,PIF Sberbank-Denezhnyj,RUB,"PIF Sberbank-Denezhnyj is a money market mutual investment fund (PIF) managed by Sberbank Asset Management. The fund invests in short-term, liquid, money market instruments. It aims to provide investors with a safe and stable investment option for cash management.",Cash,Money Market Instruments,,MCX,MISX
RU000A101HY7.ME,ALFA CAPITAL MANAG,RUB,"ALFA CAPITAL MANAG is an investment fund or product managed by ALFA CAPITAL MANAG. The fund's specific investment focus or asset class (e.g., equities, bonds, real estate) is not specified in the name. Additional information is required to determine its investment strategy.",Financials,,,MCX,MISX
RU000A101NK4.ME,VOSTOK-ZAPAD UPRAV,RUB,VOSTOK-ZAPAD UPRAV is an investment fund or product managed by VOSTOK-ZAPAD UPRAV. The fund's specific investment focus or asset class is not specified in the name. Additional information is required to determine its investment strategy.,Financials,,,MCX,MISX
RU000A101UY0.ME,MKB INVESTMENTS AS,RUB,MKB INVESTMENTS AS is an investment fund or product managed by MKB INVESTMENTS AS. The fund's specific investment focus or asset class is not specified in the name. Additional information is required to determine its investment strategy.,Financials,,,MCX,MISX
RU000A101YY2.ME,ALFA CAPITAL MANAG,RUB,ALFA CAPITAL MANAG is an investment fund or product managed by ALFA CAPITAL MANAG. The fund's specific investment focus or asset class is not specified in the name. Additional information is required to determine its investment strategy.,Financials,,,MCX,MISX
RU000A1022Z1.ME,,RUB,,,,,MCX,MISX
RU000A102408.ME,OTKRITIE ASSET MGM,RUB,"OTKRITIE ASSET MGM is an investment fund or product managed by OTKRITIE ASSET MGM. The fund's specific investment focus or asset class (e.g., equities, bonds, real estate) is not specified in the name. Additional information is required to determine its investment strategy.",Financials,,,MCX,MISX
RU000A102N44.ME,SBER ASSET MGMT,RUB,"SBER ASSET MGMT is an investment product or fund managed by SBER ASSET MGMT. The fund's specific investment strategy (e.g., equities, bonds, real estate) is not specified in the name. Additional information is needed to understand its asset allocation.",Financials,,,MCX,MISX
RU000A102N77.ME,VTB CAPITAL PENSIO,RUB,VTB CAPITAL PENSIO is a pension fund or investment product managed by VTB CAPITAL PENSIO. The fund's specific investment strategy and asset allocation depend on its investment mandate. It is designed to provide retirement savings for its investors.,Fixed Income,,,MCX,MISX
RU000A102PE0.ME,VTB CAPITAL ASSET,RUB,VTB CAPITAL ASSET is an investment fund or product managed by VTB CAPITAL ASSET. The fund's specific investment focus or asset class is not specified in the name. Further information is required to determine its investment strategy.,Financials,,,MCX,MISX
RU000A102PF7.ME,VTB CAPITAL ASSET,RUB,VTB CAPITAL ASSET is an investment fund or product managed by VTB CAPITAL ASSET. The fund's specific investment focus or asset class is not specified in the name. Additional information is required to determine its investment strategy.,Financials,,,MCX,MISX
