symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AEMU.L,Amundi Index Solutions - Amundi Index MSCI Emerging Markets UCITS ETF DR USD D denominated units,USD,"The objective of this Sub-fund is to replicate the MSCI Emerging markets Index composition while slightly outperforming the index and maintaining a very low tracking error.
The Sub-fund aims to achieve a level of tracking error whereby the annual variability of the difference in returns between the performance of the sub-fund and its index will not normally exceed 2%. On a daily basis, the manager
aims to maintain the tracking error under 0.50%.",,Emerging Markets,Amundi Asset Management,LSE,XLON,
AEXK.L,Amundi Index Solutions - Amundi MSCI Europe Ex UK UCITS ETF DR - EUR (C),GBP,"To track the performance of MSCI Europe ex UK Index, and to minimize
the tracking error between the net asset value of the sub-fund and the
performance of the Index.",,Developed Markets,Amundi Asset Management,LSE,XLON,LU1681043326
AFSU.L,Lyxor MSCI South Africa UCITS ETF Acc,USD,"The investment objective of the MULTI
UNITS LUXEMBOURG - Lyxor MSCI
South Africa UCITS ETF (the âSub-Fundâ)
is to track both the upward and the
downward evolution of the MSCI South
Africa Net Total Return index (the âIndexâ)
denominated in US Dollars and
representative of the South African equity
market, while minimizing the volatility of the
difference between the return of the
Sub-Fund and the return of the Index (the
âTracking Errorâ).",,Emerging Markets,Lyxor International Asset Management,LSE,XLON,LU1900067270
AGAP.L,WisdomTree Agriculture,GBP,"WisdomTree Agriculture (1687) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Agriculture Subindex plus a collateral return. 1687 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYH63
AGBP.L,iShares Core Global Aggregate Bond UCITS ETF GBP Hedged (Dist),GBP,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index.",Fixed Income,Investment Grade Bonds,BlackRock Asset Management,LSE,XLON,IE00B3F81409
AGCP.L,WisdomTree Broad Commodities,GBP,"WisdomTree All Commodities (1684) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Commodity IndexSM plus a collateral return. 1684 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KY989
AGED.L,iShares Ageing Population UCITS ETF USD (Acc),USD,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the STOXX Global Ageing Population Index.",,Developed Markets,BlackRock Asset Management,LSE,XLON,IE00BYZK4669
AGES.L,iShares Ageing Population UCITS ETF USD (Acc),GBP,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the STOXX Global Ageing Population Index.",,Developed Markets,BlackRock Asset Management,LSE,XLON,IE00BYZK4669
AGGB.L,UBS AG UBS ETC (CMCI AGRICULTUR,GBP,"UBS AG UBS ETC (CMCI AGRICULTUR) is an exchange-traded commodity (ETC) that tracks the performance of the CMCI Agriculture Index. The index represents a diversified basket of agricultural commodities futures contracts. UBS AG, a Swiss financial services company, issues and manages the ETC, providing investors with exposure to the agricultural sector.",Commodities,,,LSE,XLON,
AGGG.L,iShares Core Global Aggregate Bond UCITS ETF USD (Dist),USD,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index.",Fixed Income,Investment Grade Bonds,BlackRock Asset Management,LSE,XLON,IE00B3F81409
AGGP.L,WisdomTree Grains,GBP,"WisdomTree Grains (1688) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Grains Subindex plus a collateral return. 1688 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYL00
AGGU.L,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Acc),USD,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index.",Fixed Income,Investment Grade Bonds,BlackRock Asset Management,LSE,XLON,IE00B3F81409
AGRU.L,"UBS AG, London Branch",USD,,,,UBS Asset Management,LSE,XLON,
AH50.L,Xtrackers Harvest FTSE China A-H 50 UCITS ETF 1D,USD,"The aim is for the investment to reflect the performance of the FTSE China A-H 50 Index which reflects the performance of the 50 largest companies incorporated in the Peopleâs Republic of China (PRC) and traded on the Shanghai or the Shenzhen Stock Exchange. Each company will be represented either by its A-share (that is the share listed on the Shanghai or the Shenzhen Stock Exchange) or by its H-share (that is the share listed on the Stock Exchange of Hong Kong (SEHK) and traded in Hong Kong dollars. The Index is calculated in Renminbi. The Index is a price return Index, which means that dividends which may have been paid out on any shares are not included in the Index returns. The Index is reviewed and adjusted quarterly. The Fund will attempt to replicate the Index, before fees and expenses, by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as the Index as determined by Harvest Global Investments Limited.",Information Technology,Emerging Markets,Xtrackers,LSE,XLON,LU1310477036
AIAG.L,L&G Artificial Intelligence UCITS ETF,GBP,The investment objective of the L&G Artificial Intelligence UCITS ETF (the âFundâ) is to provide exposure to the global artificial intelligence technology industry.,Information Technology,,LGIM Managers,LSE,XLON,IE00BK5BCD43
AIAI.L,L&G Artificial Intelligence UCITS ETF,USD,The investment objective of the L&G Artificial Intelligence UCITS ETF (the âFundâ) is to provide exposure to the global artificial intelligence technology industry.,Information Technology,,LGIM Managers,LSE,XLON,IE00BK5BCD43
AIGA.L,WisdomTree Agriculture,USD,"WisdomTree Agriculture (1687) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Agriculture Subindex plus a collateral return. 1687 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYH63
AIGC.L,WisdomTree Broad Commodities,USD,"WisdomTree All Commodities (1684) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Commodity IndexSM plus a collateral return. 1684 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KY989
AIGE.L,WisdomTree Energy,USD,"WisdomTree Energy (1685) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Energy Subindex plus a collateral return. 1685 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYB02
AIGG.L,WisdomTree Grains,USD,"WisdomTree Grains (1688) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Grains Subindex plus a collateral return. 1688 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYL00
AIGI.L,WisdomTree Industrial Metals,USD,"WisdomTree Industrial Metals (1686) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Industrial Metals Subindex plus a collateral return. 1686 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYG56
AIGL.L,WisdomTree Livestock,USD,"WisdomTree Livestock (AIGL) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Livestock Subindex (the ""Index"") and providing a collateral yield. AIGL is an exchange traded commodity (""ETC""). Its securities can be created and redeemed on demand by authorised participants and traded on exchange just like shares in a company. The ETC is backed by swaps. The payment obligations of the swap counterparties to the Issuer are protected by collateral held which is marked to market daily. The collateral is held in segregated accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYK92
AIGO.L,WisdomTree Petroleum,USD,"WisdomTree Petroleum (AIGO) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Petroleum Subindex (the ""Index"") and providing a collateral yield. AIGO is an exchange traded commodity (""ETC""). Its securities can be created and redeemed on demand by authorised participants and traded on exchange just like shares in a company. The ETC is backed by swaps. The payment obligations of the swap counterparties to the Issuer are protected by collateral held which is marked to market daily. The collateral is held in segregated accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYC19
AIGP.L,WisdomTree Precious Metals,USD,"WisdomTree Precious Metals (AIGP) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Precious Metals Subindex (the ""Index"") and providing a collateral yield. AIGP is an exchange traded commodity (""ETC""). Its securities can be created and redeemed on demand by authorised participants and traded on exchange just like shares in a company. The ETC is backed by swaps. The payment obligations of the swap counterparties to the Issuer are protected by collateral held which is marked to market daily. The collateral is held in segregated accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYF40
AIGS.L,WisdomTree Softs,USD,"WisdomTree Softs (AIGS) is designed to enable investors to gain an exposure to a total return investment in a basket of commodity futures by tracking the Bloomberg Softs Subindex (the ""Index"") and providing a collateral yield. AIGS is an exchange traded commodity (""ETC""). Its securities can be created and redeemed on demand by authorised participants and traded on exchange just like shares in a company. The ETC is backed by swaps. The payment obligations of the swap counterparties to the Issuer are protected by collateral held which is marked to market daily. The collateral is held in segregated accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KYJ87
ALAG.L,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C USD,GBP,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681045024
ALAU.L,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681045024
ALQD.L,Xtrackers II USD Asia ex Japan Corporate Bond UCITS ETF 1D,USD,"The aim is for the investment to reflect the performance of the Markit iBoxx USD Liquid Asia ex-Japan Corporates Large Cap Investment Grade Index { {Â®}} (Index). The Index is designed to represent the performance of tradable debts (bonds), issued in US dollars, by companies based in Asia (excluding Japan) (such companies may be domiciled in emerging market jurisdictions). To be eligible for inclusion in the Index, the bonds must be considered high quality (investment grade) meaning bonds issued by issuers considered less likely to default on their payment obligations. Only bonds which are (i) fixed interest bonds (bonds which pay a fix interest rate); (ii) callable bonds (bonds which may be redeemed prior to the maturity date, under certain conditions), (iii) step-up bonds, (iv) event-driven bonds and (v) dated and undated fixed-to-floater hybrid bank/insurance capital bonds are eligible for inclusion in the Index.",Fixed Income,Corporate Bonds,Xtrackers,LSE,XLON,LU1409136006
ALUM.L,WisdomTree Aluminium,USD,"WisdomTree Aluminium (1692) is designed to enable investors to gain an exposure to a total return investment in aluminium by tracking the Bloomberg Aluminum Subindex plus a collateral return. 1692 is an Exchange Traded Commodity (""ETC"") that can be created and redeemed on demand (by Authorised Participants). It trades on exchanges just like an equity and its pricing and tracking operates similarly to an Exchange Traded Fund. The ETC is backed by contracts (fully funded swaps) with counterparties whose payment obligations are backed by collateral which is marked to market daily. The collateral is held in pledge accounts at The Bank of New York Mellon.",Commodities,,WisdomTree Asset Management,LSE,XLON,GB00B15KXN58
ALYU.L,UBS AG UBS ETC (CMCI ALUMINIUM),USD,"UBS AG UBS ETC (CMCI ALUMINIUM) is an exchange-traded commodity (ETC) that tracks the performance of the CMCI Aluminum index. The ETC provides investors with exposure to the price of aluminum through futures contracts. UBS AG is a global financial services company headquartered in Zurich and Basel, Switzerland.",,,UBS Asset Management,LSE,XLON,
AMAL.L,Almalia Sanlam Active Shariah Global Equity UCITS ETF,USD,"The Sub-Fund aims to achieve capital growth over the medium to long term, whilst complying with the principles of Shariah investment set out under the heading Investment Restrictions below (the Principles of Shariah Investment).",,,Amundi Asset Management,LSE,XLON,
AMAP.L,Almalia Sanlam Active Shariah Global Equity UCITS ETF,GBP,"The Sub-Fund aims to achieve capital growth over the medium to long term, whilst complying with the principles of Shariah investment set out under the heading Investment Restrictions below (the Principles of Shariah Investment).",,,Amundi Asset Management,LSE,XLON,
ANRJ.L,Amundi ETF MSCI Europe Energy UCITS ETF,GBP,"The investment seeks to track the price and yield performance, before fees and expense, of the MSCI Europe Energy EUR index.
 The fund enables investors to benefit from an exposure to around 20 European stocks in the energy sector, with a single transaction.",Energy,,Amundi Asset Management,LSE,XLON,FR0010930644
ANXG.L,Amundi Index Solutions - Amundi Nasdaq-100 ETF-C USD,GBP,"To track the performance of NASDAQ-100 Index, and to minimize the
tracking error between the net asset value of the sub-fund and the
performance of the Index.",Information Technology,,Amundi Asset Management,LSE,XLON,LU1681038599
ANXU.L,Amundi Index Solutions - Amundi Nasdaq-100 ETF-C USD,USD,"To track the performance of NASDAQ-100 Index, and to minimize the
tracking error between the net asset value of the sub-fund and the
performance of the Index.",Information Technology,,Amundi Asset Management,LSE,XLON,LU1681038599
APEX.L,MULTI UNITS LUXEMBOURG LY AC AS,USD,"MULTI UNITS LUXEMBOURG LY AC AS is an investment fund incorporated in Luxembourg. It's a sub-fund of a larger umbrella fund structure, offering various investment strategies. Further information about its specific investment objectives, asset allocation, and risk profile are needed for a comprehensive description.",,,FundRock Management Company,LSE,XLON,
ASDV.L,SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF,USD,The objective of the SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF is to track the performance of high dividend yielding equities from the Asia Pacific region. It aims to do this by tracking the performance of the S&P Pan Asia Dividend Aristocrats Index as closely as possible.,Equities,,State Street Global Advisors,LSE,XLON,IE00B9KNR336
ASHR.L,Xtrackers Harvest CSI300 UCITS ETF 1D,USD,"The aim is for the investment to reflect the performance of the CSI300 Index (Index) which reflects the performance of shares of 300 companies listed on the Shanghai Stock Exchange and the Shenzhen Stock Exchange (A shares). The companies are selected on the basis that they have the largest combined value of readily available shares as compared to other companies on the stock exchanges. The investment manager of the Fund, Harvest Global Investments Limited (Investment Manager), has been granted a licence as a ""Renminbi qualified foreign institutional investor"" (RQFII) by the China Securities Regulatory Commission. The Index is calculated on a price return basis, which means that the level of the Index does not include any dividends and distributions made by the companies. The Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Equities,,Xtrackers,LSE,XLON,LU0875160326
ASIL.L,Multi Units Luxembourg - Lyxor China Enterprise (HSCEI) UCITS ETF,GBP,"Multi Units Luxembourg - Lyxor China Enterprise (HSCEI) UCITS ETF is an exchange-traded fund designed to track the performance of the Hang Seng China Enterprises Index (HSCEI). The ETF provides exposure to the largest companies in China that are listed on the Hong Kong Stock Exchange. Lyxor Asset Management, a subsidiary of Societe Generale, manages the ETF, which is domiciled in Luxembourg.",Equities,,Lyxor International Asset Management,LSE,XLON,
ASIU.L,Lyxor China Enterprise (HSCEI) UCITS ETF - Acc-EUR,USD,"The investment objective of the MULTI UNITS LUXEMBOURG â Lyxor China Enterprise (HSCEI) UCITS ETF (the ""Sub-Fund"") is to track both the upward and the downward evolution of the Hang Seng China Enterprises Index Net Total Return index (the ""Index"") denominated in Hong Kong dollars (HKD), and representative of the major Chinese equities known as ""H-shares, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the ""Tracking Error"").",Equities,,Lyxor International Asset Management,LSE,XLON,LU1900068914
AT1.L,Invesco AT1 Capital Bond ETF,USD,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",Fixed Income,High Yield Bonds,Invesco Investment Management,LSE,XLON,IE00BFZPF322
AT1D.L,Invesco AT1 Capital Bond ETF USD Dist,GBP,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",Fixed Income,High Yield Bonds,Invesco Investment Management,LSE,XLON,IE00BFZPF322
AT1P.L,Invesco Markets II Plc - Invesco AT 1 Capital Bond UCITS ETF,GBP,"Invesco Markets II Plc - Invesco AT 1 Capital Bond UCITS ETF is an exchange-traded fund (ETF) that invests in Additional Tier 1 (AT1) capital bonds issued by financial institutions. This UCITS ETF, managed by Invesco, aims to provide exposure to the AT1 bond market. The fund is domiciled in Ireland under the Invesco Markets II Plc structure.",Fixed Income,High Yield Bonds,Invesco Investment Management,LSE,XLON,
AT1S.L,Invesco AT1 Capital Bond ETF GBP Hedged Dist,GBP,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",Fixed Income,High Yield Bonds,Invesco Investment Management,LSE,XLON,IE00BFZPF322
AUAD.L,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (AUD) A-dis,GBP,"The UBS ETF â MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",Real Estate,,UBS Asset Management,LSE,XLON,IE00BD4TY451
AUCO.L,L&G Gold Mining UCITS ETF,USD,"The Fund is designed to track the performance of the DAXglobalÂ® Gold Miners (TR) USD. AUCO is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by Authorised Participants. AUCO is authorised and regulated as a UCITS and is eligible for investment by other UCITS. AUCO gains exposure to the performance of the DAXglobalÂ® Gold Miners (TR) USD through Total Return Swaps entered into with multiple counterparties participating on the UCITS ETF platform. Any exposure to the counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com",Materials,,LGIM Managers,LSE,XLON,IE00B3CNHG25
AUCP.L,L&G Gold Mining UCITS ETF,GBP,"The Fund is designed to track the performance of the DAXglobalÂ® Gold Miners (TR) USD. AUCO is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by Authorised Participants. AUCO is authorised and regulated as a UCITS and is eligible for investment by other UCITS. AUCO gains exposure to the performance of the DAXglobalÂ® Gold Miners (TR) USD through Total Return Swaps entered into with multiple counterparties participating on the UCITS ETF platform. Any exposure to the counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com",Materials,,LGIM Managers,LSE,XLON,IE00B3CNHG25
AUEG.L,Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C USD,GBP,"To track the performance of MSCI Emerging Markets Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",Real Estate,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681045370
AUEM.L,Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",Real Estate,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681045370
AUGA.L,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (hedged to GBP) A-acc,GBP,"The UBS ETF â MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",Real Estate,,UBS Asset Management,LSE,XLON,IE00BX7RS555
AWSG.L,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged GBP A Dis,GBP,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,LSE,XLON,IE00BDR55703
AWSR.L,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged USD A Acc,USD,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,LSE,XLON,IE00BDR55703
BACK.L,iShares US Equity Buyback Achievers UCITS ETF USD (Acc),USD,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the NASDAQ US Buyback AchieversTM Select Index.",,,BlackRock Asset Management,LSE,XLON,IE00BQT3VN15
BATG.L,L&G Battery Value-Chain UCITS ETF,GBP,"The objective of the fund is to provide exposure to basket of stocks of providers for electro-chemical energy storage technologies and mining companies that produce metals used to manufacture batteries. The tracked index uses a screening approach that picks battery providers mapped according to their technology type (lead-based, lithium-based, nickelbased and sodium-based), and lithium miners classified as current producers of lithium.",,,LGIM Managers,LSE,XLON,IE00BF0M2Z96
BATT.L,L&G Battery Value-Chain UCITS ETF,USD,"The objective of the fund is to provide exposure to basket of stocks of providers for electro-chemical energy storage technologies and mining companies that produce metals used to manufacture batteries. The tracked index uses a screening approach that picks battery providers mapped according to their technology type (lead-based, lithium-based, nickelbased and sodium-based), and lithium miners classified as current producers of lithium.",,,LGIM Managers,LSE,XLON,IE00BF0M2Z96
BB3M.L,JPMorgan ETFs (Ireland) ICAV - Betabuilders US Treasury Bond 0-3 Months UCITS ETF,USD,"JPMorgan ETFs (Ireland) ICAV - Betabuilders US Treasury Bond 0-3 Months UCITS ETF is an exchange-traded fund. The fund seeks to track the performance of the ICE 0-3 Month US Treasury Securities Index, providing exposure to short-term US Treasury bonds. The ETF is managed by JPMorgan Asset Management and domiciled in Ireland.",Fixed Income,Treasury Bonds,JPMorgan Asset Management,LSE,XLON,
