symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
BAPR,Innovator S&P 500 Buffer ETF - April New,USD,"The investment seeks to provide investors with returns that match the price return of the SPDRÂ® S&P 500Â® ETF Trust.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the SPDRÂ® S&P 500Â® ETF Trust. FLEX Options are exchange-traded options contracts with uniquely customizable terms. The reference asset for all of the fund&#39;s FLEX Options is the underlying ETF, an exchange-traded unit investment trust that seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the S&P 500Â® Index. It is non-diversified.",,,Innovator ETFs,BTS,BATS,US45782C8881
BAUG,Innovator S&P 500 Buffer ETF - August,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. It is non-diversified.",,,Innovator ETFs,BTS,BATS,US45782C6984
BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® Developed Asia Pacific ex-Japan Target Market Exposure IndexSM.
 The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index targets 85% of the stocks traded on the primary exchanges in each country or region by market capitalization, and primarily includes large- and mid-capitalization companies.",,Emerging Markets,JPMorgan Asset Management,BTS,BATS,US46641Q2333
BBCA,JPMorgan BetaBuilders Canada ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® Canada Target Market Exposure IndexSM.
 The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of stocks traded primarily on the Toronto Stock Exchange. The fund may invest up to 20% of its assets in exchange-traded futures and forward foreign currency contracts to seek performance that corresponds to the underlying index.",,Developed Markets,JPMorgan Asset Management,BTS,BATS,US46641Q2259
BBEU,JPMorgan BetaBuilders Europe ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® Developed Europe Target Market Exposure IndexSM.
 The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization-weighted index which consists of equity securities from developed European countries or regions, including: Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, Sweden, Switzerland and the United Kingdom.",Equities,Developed Markets,JPMorgan Asset Management,BTS,BATS,US46641Q1913
BBIN,JPMorgan BetaBuilders International Equity ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® Developed Markets ex-North America Target Market Exposure IndexSM.
 The fund will invest at least 80% of its assets in securities included in the underlying index."" The underlying index is a free float adjusted market capitalization weighted index which consists of equity securities from developed countries or regions.",Equities,Developed Markets,JPMorgan Asset Management,BTS,BATS,US46641Q3737
BBJP,JPMorgan BetaBuilders Japan ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® Japan Target Market Exposure IndexSM.
 The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free float adjusted market capitalization weighted index which consists of stocks traded primarily on the Tokyo Stock Exchange or the Nagoya Stock Exchange. The fund may invest up to 20% of its assets in exchange-traded futures and forward foreign currency contracts to seek performance that corresponds to the underlying index.",Equities,Developed Markets,JPMorgan Asset Management,BTS,BATS,US46641Q2176
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MSCI US REIT Custom Capped Index.
 The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free-float adjusted market-cap weighted index designed to measure the performance of U.S. equity real estate investment trust (REIT) securities. The fund may invest up to 20% of its assets in exchange-traded futures to seek performance that corresponds to the underlying index.",Real Estate,REITs,JPMorgan Asset Management,BTS,BATS,US46641Q7381
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the Bloomberg Barclays Short-Term U.S. Aggregate Bond Index.
 The index measures the performance of U.S. dollar denominated investment grade taxable bonds with remaining effective maturities between one and five years. The fund will invest at least 80% of its assets (net assets, plus the amount of borrowing for investment purposes) in securities included in the underlying index.",Fixed Income,Investment Grade Bonds,JPMorgan Asset Management,BTS,BATS,
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,USD,"The investment seeks investment results that closely correspond, before fees and expenses, to the performance of the MorningstarÂ® US Target Market Exposure IndexSM.
 The underlying index is a free float adjusted market capitalization weighted index which consists of equity securities primarily traded in the United States. The underlying index targets 85% of those stocks by market capitalization, and primarily includes large- and mid-capitalization companies. The fund will invest at least 80% of its assets in securities included in the underlying index.",Equities,Large Cap,JPMorgan Asset Management,BTS,BATS,US46641Q3992
BDEC,Innovator S&P 500 Buffer ETF - December,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Equities,,Innovator ETFs,BTS,BATS,US45782C5572
BFEB,Innovator S&P 500 Buffer ETF - February,USD,"The investment seeks to provide investors with returns that match the price return of the SPDRÂ® S&P 500Â® ETF Trust.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the SPDRÂ® S&P 500Â® ETF Trust (the ""Underlying ETF""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C4336
BGLD,FT Cboe Vest Gold Tactical Buffer ETF,USD,"The investment seeks to provide investors with returns (before fees, expenses and taxes) that match those of the SPDRÂ® Gold Trust.
 Under normal market conditions, the fund will invest substantially all of its assets in U.S. Treasury securities, cash and cash equivalents, and in the shares of a wholly-owned subsidiary (the ""Subsidiary"") that holds FLEX Options that reference the price performance of the SPDRÂ® Gold Trust. FLEX Options are customized equity or index option contracts that trade on an exchange, but provide investors with the ability to customize key contract terms like exercise prices, styles and expiration dates. The fund is non-diversified.",Derivatives,,FT Portfolios,BTS,BATS,US33733E8497
BJAN,Innovator S&P 500 Buffer ETF January,USD,"The investment seeks to provide investors with returns that match the price return of the SPDRÂ®S&P 500Â®ETF Trust.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the SPDRÂ® S&P 500Â® ETF Trust (the ""Underlying ETF""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Through its use of FLEX Options on the Underlying ETF, the fund will have exposure to companies in the information technology sector. The fund is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C4096
BJUL,Innovator S&P 500 Buffer ETF – July,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. The fund&#39;s investment sub-adviser has constructed a portfolio principally composed of seven FLEX Options on the S&P 500 Price Index that are each set to expire on the last day of the Outcome Period. The fund is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C7891
BJUN,Innovator S&P 500 Buffer ETF - June,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options that reference the S&P 500 Price Return Index. FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation, FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C7552
BLDG,Cambria Global Real Estate ETF,USD,"The investment seeks income and capital appreciation.
 The fund is actively managed and seeks to achieve its investment objective by investing, under normal market conditions, primarily in the securities of domestic and foreign, including developed and emerging market, companies principally engaged in the real estate sector and real-estate related industries (collectively, âreal estate companiesâ) that exhibit favorable multi-factor metrics, such as value, quality and momentum, according to a quantitative methodology developed by Cambria Investment Management, L.P., the fundâs investment adviser (âCambriaâ).",Real Estate,REITs,Cambria ETF Trust,BTS,BATS,US1320618135
BMAR,Innovator S&P 500 Buffer ETF - March,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Derivatives,Factors,Innovator ETFs,BTS,BATS,US45782C3916
BMAY,Innovator S&P 500 Buffer ETF - May,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Derivatives,Factors,Innovator ETFs,BTS,BATS,US45782C3262
BNOV,Innovator S&P 500 Buffer ETF - November,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C5812
BOB,Alpha Architect Merlyn.AI Best-of-Breed Core Momentum ETF,USD,"The investment seeks to track the total return performance, before fees and expenses, of the MAI Best-of-Breed Core Momentum Index.
 The fund employs two different investment strategies depending on whether the index anticipates a bull market or a bear market. At least 80% of the fund&#39;s total assets will be invested in the component securities of the index. The index seeks to determine whether U.S. equity markets appear to be a ""Bull"" indicator or appear to have a ""Bear"" indicator. The fund is non-diversified.",Alternatives,Factors,Alpha Architect,BTS,BATS,
BOCT,Innovator S&P 500 Buffer ETF - October,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). The reference asset for all of the fund&#39;s FLEX Options is the S&P 500 Price Index, a large-cap, market-weighted, U.S. equities index that tracks the price (excluding dividends) of the 500 leading companies in leading industries. The fund is non-diversified.",Derivatives,,Innovator ETFs,BTS,BATS,US45782C7719
BOSS,Global X Founder-Run Companies ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive U.S. Founder-Run Companies Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to U.S. companies in which a founder or co-founder of the company is serving as the Chief Executive Officer of the company (collectively, ""Founder-Run Companies""), as determined by Solactive AG, the provider of the underlying index.",Consumer Discretionary,,Global X Funds,BTS,BATS,
BSEP,Innovator S&P 500 Buffer ETF - September,USD,"The investment seeks to provide investors with returns that match those of the S&P 500 Price Index.
 The fund invests at least 80% of its net assets in FLexible EXchangeÂ® Options (""FLEX Options"") that reference the S&P 500 Price Return Index (""S&P 500 Price Index""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified.",Alternatives,Large Cap,Innovator ETFs,BTS,BATS,US45782C6646
BUFD,FT Cboe Vest Fund of Deep Buffer ETFs,USD,"The investment seeks to provide investors with capital appreciation.
 The fund seeks to achieve its investment objective by providing investors with U.S. large-cap equity market exposure while attempting to limit downside risk through a laddered portfolio of twelve FT Cboe Vest U.S. Equity Deep Buffer ETFs. The term ""laddered portfolio"" refers to the fund&#39;s investment in multiple Underlying ETFs that have target outcome period expiration dates which occur on a rolling, or periodic, basis. The fund is non-diversified.",Consumer Discretionary,Developed Markets,FT Portfolios,BTS,BATS,US33740U7037
BUFF,Innovator Laddered Fund of S&P 500 Power Buffer ETFs,USD,"The investment seeks investment results that generally correspond (before fees and expenses) to the performance of the Refinitiv Laddered Power Buffer Strategy Index.
 The fund will invest at least 80% of its net assets (including investment borrowing) in the exchange-traded funds (""ETFs"") that comprise the index. The index is composed of the shares of twelve Innovator S&P 500 Power Buffer ETFs. The fund, in accordance with the index, will be continuously invested in each of the underlying ETFs and will rebalance semi-annually by purchasing and selling the underlying ETFs to equally weight the underlying ETFs. It is non-diversified.",Consumer Discretionary,Developed Markets,Innovator ETFs,BTS,BATS,US45783Y8140
BUFR,First Trust Cboe Vest Fund of Buffer ETFs,USD,"The investment seeks to provide investors with capital appreciation.
 The fund seeks to achieve its investment objective by providing investors with U.S. large-cap equity market exposure while limiting downside risk through a laddered portfolio of four FT Cboe Vest U.S. Equity Buffer ETFs. Under normal market conditions, it will invest substantially all of its assets in the Underlying ETFs, which seek to provide investors with returns that match the price return of the SPDR S&P 500 ETF Trust (""SPY""), up to a predetermined upside cap, while providing a buffer against the first 10% of SPY losses, over a defined one-year period. The fund is non-diversified.",Consumer Discretionary,Developed Markets,First Trust Advisors,BTS,BATS,US33740F7556
BUYZ,Franklin Disruptive Commerce ETF,USD,"The investment seeks capital appreciation.
 Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to its investment theme of disruptive commerce. The fund invests predominantly in common stock. Although it may invest across economic sectors, the fund concentrates its investments in consumer discretionary related industries. It is non-diversified.",Consumer Discretionary,Growth,Franklink Templeton Investments,BTS,BATS,US35473P5382
CALF,Pacer US Small Cap Cash Cows 100 ETF,USD,"The investment seeks to track the total return performance, before fees and expenses, of the Pacer US Small Cap Cash Cows Index (the ""index"").
 Under normal circumstances, at least 80% of the fund&#39;s total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The index uses an objective, rules-based methodology to provide exposure to small-capitalization U.S. companies with high free cash flow yields.",Financials,Small Cap,Pacer,BTS,BATS,US69374H8575
CBTG,Cabot Growth ETF,USD,"The investment seeks capital appreciation.
 The fund may invest in common stock of U.S. large-, mid-, and small-capitalization companies and ETFs. It also may invest to a lesser extent in American Depositary Receipts (""ADRs"") representing foreign company stock. Under normal circumstances, 70-80% of the fund&#39;s net assets, plus borrowings for investment purposes, will be invested in equity securities. The fund is non-diversified.",Financials,,Cabot ETF Partners,BTS,BATS,
CEFS,Saba Closed-End Funds ETF,USD,"The investment seeks to provide capital appreciation and dividend income.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective by normally investing at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in securities issued by closed-end funds (the ""underlying funds""). The advisor expects to invest in underlying funds operated by a diversified group of closed-end fund managers (""underlying fund managers""). The fund normally invests in underlying funds that primarily pursue high income opportunities.",Equities,Bonds,SABA ETF,BTS,BATS,US30151E8066
CEMB,iShares J.P. Morgan EM Corporate Bond ETF,USD,"The investment seeks to track the investment results of the J.P. Morgan CEMBI Broad Diversified Core Index composed of U.S. dollar-denominated, emerging market corporate bonds.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index tracks the performance of the U.S. dollar-denominated emerging market corporate bond market.",Fixed Income,Corporate Bonds,BlackRock Asset Management,BTS,BATS,US4642862514
CFCV,Clearbridge Focus Value ETF,USD,"The investment seeks long-term capital appreciation.
 Under normal circumstances, the fund will invest at least 80% of its net assets in equity securities, or other exchange-traded investments with similar economic characteristics in which it is permitted to invest, of companies with large market capitalizations. It will only invest in instruments that trade on a U.S. exchange contemporaneously with the fund&#39;s shares and, for temporary or defensive purposes, in cash and cash equivalents.",Equities,Value,ClearShares,BTS,BATS,US00509W1053
CNYA,iShares MSCI China A ETF,USD,"The investment seeks to track the investment results of the MSCI China A Inclusion Index composed of domestic Chinese equities that trade on the Shanghai or Shenzhen Stock Exchange.
 The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is designed to measure the equity market performance in the People&#39;s Republic of China, as represented by ""A-shares"" that are accessible through the Shanghai-Hong Kong Stock Connect program or the Shenzhen-Hong Kong Stock Connect program.",Alternatives,Emerging Markets,BlackRock Asset Management,BTS,BATS,US46434V5140
COWZ,Pacer US Cash Cows 100 ETF,USD,"The investment seeks to track the total return performance, before fees and expenses, of the Pacer US Cash Cows 100 Index (the ""index"").
 Under normal circumstances, at least 80% of the fund&#39;s total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The index uses an objective, rules-based methodology to provide exposure to large and mid-capitalization U.S. companies with high free cash flow yields. Companies with high free cash flow yields are commonly referred to as ""cash cows"".",Financials,Factors,Pacer,BTS,BATS,US69374H8815
